date,department,product_service,revenue,expenses,employees,performance_score,region,quarter
2024-01-01,Search,Google Search,45000000,12000000,15000,92,North America,Q1
2024-01-01,Cloud,Google Cloud Platform,28000000,8500000,8500,88,North America,Q1
2024-01-01,YouTube,YouTube Ads,35000000,9000000,12000,95,North America,Q1
2024-01-01,Hardware,Pixel Devices,8000000,6000000,3500,78,North America,Q1
2024-01-01,AI,Google AI Services,15000000,5000000,4500,91,North America,Q1
2024-01-02,Search,Google Search,46500000,12200000,15000,93,Europe,Q1
2024-01-02,Cloud,Google Cloud Platform,29000000,8700000,8500,89,Europe,Q1
2024-01-02,YouTube,YouTube Ads,36000000,9200000,12000,94,Europe,Q1
2024-01-02,Hardware,Pixel Devices,7500000,5800000,3500,79,Europe,Q1
2024-01-02,AI,Google AI Services,16000000,5200000,4500,92,Europe,Q1
2024-01-03,Search,Google Search,47000000,12400000,15000,94,Asia Pacific,Q1
2024-01-03,Cloud,Google Cloud Platform,31000000,9000000,8500,90,Asia Pacific,Q1
2024-01-03,YouTube,YouTube Ads,37500000,9500000,12000,96,Asia Pacific,Q1
2024-01-03,Hardware,Pixel Devices,9000000,6200000,3500,82,Asia Pacific,Q1
2024-01-03,AI,Google AI Services,17500000,5500000,4500,93,Asia Pacific,Q1
2024-01-04,Search,Google Search,48000000,12600000,15000,95,North America,Q1
2024-01-04,Cloud,Google Cloud Platform,32500000,9300000,8500,91,North America,Q1
2024-01-04,YouTube,YouTube Ads,38000000,9800000,12000,97,North America,Q1
2024-01-04,Hardware,Pixel Devices,8500000,6000000,3500,80,North America,Q1
2024-01-04,AI,Google AI Services,18000000,5800000,4500,94,North America,Q1
2024-01-05,Search,Google Search,49000000,12800000,15000,96,Europe,Q1
2024-01-05,Cloud,Google Cloud Platform,33000000,9500000,8500,92,Europe,Q1
2024-01-05,YouTube,YouTube Ads,39000000,10000000,12000,98,Europe,Q1
2024-01-05,Hardware,Pixel Devices,9500000,6400000,3500,83,Europe,Q1
2024-01-05,AI,Google AI Services,19000000,6000000,4500,95,Europe,Q1
2024-02-01,Search,Google Search,50000000,13000000,15200,97,Asia Pacific,Q1
2024-02-01,Cloud,Google Cloud Platform,35000000,10000000,8700,93,Asia Pacific,Q1
2024-02-01,YouTube,YouTube Ads,40000000,10500000,12200,99,Asia Pacific,Q1
2024-02-01,Hardware,Pixel Devices,10000000,6600000,3600,85,Asia Pacific,Q1
2024-02-01,AI,Google AI Services,20000000,6200000,4700,96,Asia Pacific,Q1
2024-02-02,Search,Google Search,51000000,13200000,15200,98,North America,Q1
2024-02-02,Cloud,Google Cloud Platform,36000000,10200000,8700,94,North America,Q1
2024-02-02,YouTube,YouTube Ads,41000000,10800000,12200,97,North America,Q1
2024-02-02,Hardware,Pixel Devices,11000000,6800000,3600,87,North America,Q1
2024-02-02,AI,Google AI Services,21000000,6400000,4700,97,North America,Q1
